Date,Open,High,Low,Close,Volume,Adj Close
2012-04-17,5666.30,5773.70,5651.50,5767.00,856433000,5767.00
2012-04-16,5651.80,5708.00,5641.10,5666.30,1101926600,5666.30
2012-04-13,5710.50,5710.80,5643.50,5651.80,830223000,5651.80
2012-04-12,5634.70,5727.90,5602.60,5710.50,1115210000,5710.50
2012-04-11,5595.60,5655.90,5576.40,5634.70,1132327600,5634.70
2012-04-10,5723.70,5723.70,5595.60,5595.60,1008933700,5595.60
2012-04-09,5723.70,5723.70,5723.70,5723.70,000,5723.70
2012-04-06,5723.70,5723.70,5723.70,5723.70,000,5723.70
2012-04-05,5703.80,5731.70,5663.30,5723.70,905682000,5723.70
2012-04-04,5838.30,5838.30,5685.70,5703.80,1174203100,5703.80
2012-04-03,5874.90,5890.20,5838.30,5838.30,896434000,5838.30
2012-04-02,5768.50,5874.90,5748.60,5874.90,886248600,5874.90
2012-03-30,5742.00,5782.70,5742.00,5768.50,990170000,5768.50
2012-03-29,5809.00,5812.20,5726.50,5742.00,1084172100,5742.00
2012-03-28,5869.60,5877.90,5809.00,5809.00,931498400,5809.00
2012-03-27,5902.70,5941.90,5863.80,5869.60,1257297400,5869.60
2012-03-26,5854.90,5913.10,5854.50,5902.70,722858600,5902.70
2012-03-23,5845.70,5875.70,5801.70,5854.90,848516900,5854.90
2012-03-22,5892.00,5892.00,5825.90,5845.70,883155700,5845.70
2012-03-21,5891.40,5921.70,5880.80,5892.00,907211300,5892.00
2012-03-20,5961.10,5961.10,5876.40,5891.40,978545300,5891.40
2012-03-19,5965.60,5968.90,5928.50,5961.10,951065300,5961.10
2012-03-16,5940.70,5974.10,5940.70,5965.60,1830036200,5965.60
2012-03-15,5945.40,5958.20,5919.20,5940.70,1034944400,5940.70
2012-03-14,5955.90,5989.10,5945.40,5945.40,1165018000,5945.40
2012-03-13,5892.80,5957.90,5892.80,5955.90,761933800,5955.90
2012-03-12,5887.50,5894.10,5860.40,5892.80,800492000,5892.80
2012-03-09,5859.70,5897.60,5842.90,5887.50,854778900,5887.50
2012-03-08,5791.40,5874.30,5791.40,5859.70,828107700,5859.70
2012-03-07,5765.80,5801.10,5755.70,5791.40,859928000,5791.40
2012-03-06,5874.80,5874.80,5758.40,5765.80,989886600,5765.80
2012-03-05,5911.10,5911.10,5865.40,5874.80,873447200,5874.80
2012-03-02,5931.30,5940.00,5908.50,5911.10,736456500,5911.10
2012-03-01,5871.50,5936.10,5858.90,5931.30,900749900,5931.30
